comuna,ica,fecha,id
comuna 10,64,2024-01-30,23184
comuna 9,46,2024-07-31,43150
comuna 16,38,2024-06-23,44025
comuna 6,80,2024-06-25,8942
comuna 12,51,2024-06-25,5704
comuna 12,50,2024-06-23,23824
comuna 3,76,2024-06-25,17386
comuna 1,65,2024-06-23,4014
comuna 1,41,2024-06-23,23310
comuna 14,81,2024-06-25,49727
comuna 12,66,2024-06-25,662
comuna 6,64,2024-06-25,2125
comuna 6,20,2024-06-25,38478
comuna 5,63,2024-01-30,16710
comuna 1,84,2024-07-31,13489
comuna 11,32,2024-06-23,44317
comuna 11,44,2024-07-31,41924
comuna 10,82,2024-06-23,5210
comuna 16,82,2024-06-25,33614
comuna 4,10,2024-01-30,34572
comuna 10,50,2024-06-25,35826
comuna 9,15,2024-01-30,33432
comuna 15,71,2024-07-31,37790
comuna 15,78,2024-06-25,10429
comuna 12,10,2024-07-31,2656
comuna 10,14,2024-06-25,41566
comuna 2,31,2024-06-25,20069
comuna 2,11,2024-07-31,40372
comuna 10,11,2024-06-25,40425
comuna 5,70,2024-01-30,30440
comuna 10,19,2024-06-25,36986
comuna 5,86,2024-07-31,8049
comuna 2,84,2024-06-25,41784
comuna 12,56,2024-07-31,49140
comuna 2,49,2024-06-23,30528
comuna 2,69,2024-07-31,18248
comuna 8,80,2024-07-31,37758
comuna 13,20,2024-06-23,37859
comuna 12,88,2024-07-31,35671
comuna 12,44,2024-07-31,49727
comuna 9,21,2024-06-25,32159
comuna 16,92,2024-06-25,22875
comuna 12,13,2024-01-30,17796
comuna 2,13,2024-06-23,24834
comuna 1,88,2024-01-30,5211
comuna 16,66,2024-06-25,12888
comuna 3,13,2024-06-23,24938
comuna 12,96,2024-06-23,32755
comuna 13,31,2024-01-30,40709
comuna 6,56,2024-07-31,38472
comuna 4,90,2024-07-31,2886
comuna 7,42,2024-06-25,36381
comuna 15,14,2024-01-30,39304
comuna 3,64,2024-06-25,14772
comuna 4,99,2024-06-23,45820
comuna 14,11,2024-06-23,23325
comuna 7,35,2024-07-31,34311
comuna 5,25,2024-07-31,16260
comuna 1,100,2024-06-25,2079
comuna 4,83,2024-06-23,42511
comuna 9,99,2024-06-23,7981
comuna 9,22,2024-06-25,44643
comuna 14,100,2024-06-23,11276
comuna 16,90,2024-06-25,40521
comuna 5,86,2024-07-31,6136
comuna 15,69,2024-07-31,36248
comuna 11,43,2024-06-25,41770
comuna 8,76,2024-07-31,7776
comuna 16,66,2024-01-30,39623
comuna 1,78,2024-01-30,18358
comuna 3,76,2024-01-30,25761
comuna 5,41,2024-06-23,43592
comuna 12,82,2024-06-25,47098
comuna 14,10,2024-01-30,29184
comuna 13,46,2024-01-30,22554
comuna 12,82,2024-01-30,19843
comuna 13,88,2024-07-31,44393
comuna 2,14,2024-01-30,2225
comuna 6,87,2024-07-31,22838
comuna 11,85,2024-01-30,41028
comuna 11,45,2024-06-25,3282
comuna 15,17,2024-07-31,6034
comuna 2,96,2024-06-25,44431
comuna 9,65,2024-06-25,47722
comuna 6,25,2024-07-31,30882
comuna 5,18,2024-01-30,6909
comuna 2,73,2024-06-25,41519
comuna 9,10,2024-07-31,6071
comuna 11,47,2024-06-25,16672
comuna 6,41,2024-06-25,44878
comuna 9,19,2024-01-30,2452
comuna 13,97,2024-06-25,10833
comuna 7,33,2024-01-30,31417
comuna 2,50,2024-06-25,9037
comuna 14,99,2024-01-30,24415
comuna 12,36,2024-06-25,40733
comuna 10,23,2024-01-30,47683
comuna 5,61,2024-06-25,49006
comuna 11,41,2024-07-31,21121
comuna 12,44,2024-07-31,47152
comuna 2,67,2024-06-25,40025
comuna 1,89,2024-06-23,20438
comuna 2,94,2024-07-31,47068
comuna 10,62,2024-07-31,8051
comuna 10,63,2024-06-25,25140
comuna 1,19,2024-06-23,30211
comuna 16,25,2024-06-23,8109
comuna 7,36,2024-01-30,10518
comuna 16,26,2024-06-25,20484
comuna 12,56,2024-06-25,46308
comuna 5,24,2024-06-23,37779
comuna 15,93,2024-06-23,29207
comuna 10,54,2024-06-25,7
comuna 2,96,2024-07-31,36250
comuna 12,72,2024-06-25,45871
comuna 9,96,2024-07-31,38524
comuna 9,77,2024-06-25,3009
comuna 15,67,2024-06-25,12923
comuna 3,77,2024-07-31,25904
comuna 14,76,2024-07-31,19170
comuna 13,23,2024-01-30,49495
comuna 5,80,2024-07-31,42622
comuna 16,66,2024-06-23,24011
comuna 9,68,2024-06-23,17344
comuna 7,36,2024-06-25,4572
comuna 13,29,2024-06-23,24710
comuna 3,95,2024-07-31,32204
comuna 10,53,2024-07-31,32563
comuna 16,15,2024-06-25,3510
comuna 2,75,2024-06-23,3695
comuna 1,46,2024-01-30,39159
comuna 8,13,2024-06-23,22641
comuna 8,80,2024-07-31,23181
comuna 4,66,2024-06-25,46418
comuna 10,14,2024-06-25,42414
comuna 16,62,2024-06-23,37988
comuna 13,60,2024-01-30,4739
comuna 6,42,2024-06-23,8809
comuna 5,81,2024-06-25,28853
comuna 7,74,2024-07-31,8915
comuna 14,66,2024-01-30,38247
comuna 10,49,2024-01-30,24060
comuna 11,87,2024-06-23,24141
comuna 16,56,2024-01-30,31433
comuna 5,21,2024-06-25,427
comuna 3,76,2024-06-25,23358
comuna 11,96,2024-06-23,47591
comuna 2,96,2024-06-25,7190
comuna 6,57,2024-06-25,25193
comuna 10,51,2024-01-30,24366
comuna 5,42,2024-06-23,37397
comuna 11,43,2024-06-25,22949
comuna 6,41,2024-01-30,13577
comuna 12,82,2024-01-30,14457
comuna 7,18,2024-01-30,22130
comuna 10,69,2024-06-25,41386
comuna 2,14,2024-06-25,13150
comuna 13,77,2024-06-23,37632
comuna 10,14,2024-06-25,19471
comuna 11,36,2024-06-25,29479
comuna 1,87,2024-06-23,624
comuna 13,86,2024-07-31,10371
comuna 16,23,2024-07-31,24552
comuna 7,97,2024-06-23,4939
comuna 15,26,2024-01-30,5304
comuna 14,33,2024-01-30,11042
comuna 14,26,2024-06-25,29911
comuna 7,78,2024-06-25,28522
comuna 13,31,2024-01-30,13417
comuna 12,20,2024-06-25,12793
comuna 15,75,2024-06-25,5503
comuna 11,38,2024-06-23,35599
comuna 4,25,2024-01-30,42858
comuna 16,43,2024-07-31,17831
comuna 1,38,2024-06-25,46208
comuna 15,93,2024-01-30,7925
comuna 14,79,2024-06-23,39291
comuna 2,46,2024-01-30,19331
comuna 6,55,2024-07-31,49042
comuna 6,69,2024-01-30,46296
comuna 12,15,2024-06-23,17451
comuna 11,79,2024-01-30,18383
comuna 3,36,2024-07-31,46696
comuna 9,21,2024-07-31,17394
comuna 12,24,2024-01-30,21371
comuna 11,58,2024-06-23,24290
comuna 1,56,2024-07-31,14486
comuna 12,91,2024-06-23,49576
comuna 14,100,2024-01-30,2593
comuna 5,56,2024-07-31,19042
comuna 6,22,2024-06-25,8086
comuna 8,48,2024-01-30,14223
comuna 12,67,2024-06-25,47158
comuna 11,61,2024-06-25,4487
comuna 10,93,2024-01-30,26213
comuna 2,40,2024-06-25,27823
comuna 7,71,2024-06-23,8735
comuna 2,84,2024-06-23,19174
comuna 3,66,2024-06-23,40931
comuna 9,83,2024-01-30,34849
comuna 15,27,2024-01-30,47179
comuna 1,23,2024-01-30,7692
comuna 6,46,2024-07-31,38862
comuna 3,19,2024-07-31,6769
comuna 13,49,2024-06-23,33636
comuna 15,97,2024-01-30,12363
comuna 13,40,2024-06-23,26694
comuna 16,60,2024-06-25,9282
comuna 3,31,2024-01-30,42482
comuna 9,88,2024-01-30,18420
comuna 11,11,2024-06-25,16105
comuna 1,58,2024-07-31,27267
comuna 3,97,2024-07-31,3836
comuna 8,30,2024-07-31,12532
comuna 10,13,2024-01-30,48558
comuna 7,24,2024-07-31,42049
comuna 10,97,2024-01-30,14907
comuna 6,83,2024-07-31,8247
comuna 12,60,2024-06-25,24631
comuna 2,79,2024-07-31,13360
comuna 5,80,2024-06-23,10716
comuna 10,49,2024-01-30,36046
comuna 2,76,2024-06-25,41838
comuna 7,38,2024-06-23,2904
comuna 5,66,2024-06-23,35179
comuna 1,52,2024-07-31,31017
comuna 11,58,2024-06-23,42435
comuna 15,94,2024-07-31,6502
comuna 6,63,2024-01-30,33673
comuna 14,21,2024-06-23,26462
comuna 16,93,2024-06-23,30091
comuna 1,62,2024-07-31,36185
comuna 1,98,2024-07-31,31397
comuna 15,46,2024-06-23,24284
comuna 1,49,2024-06-25,25018
comuna 8,58,2024-06-25,47965
comuna 6,42,2024-01-30,37573
comuna 14,75,2024-06-23,13967
comuna 4,36,2024-06-25,23819
comuna 9,86,2024-06-23,38714
comuna 6,43,2024-07-31,45931
comuna 7,10,2024-06-23,45480
comuna 1,23,2024-07-31,25946
comuna 10,69,2024-06-23,2481
comuna 14,81,2024-01-30,47687
comuna 10,75,2024-06-23,21814
comuna 16,12,2024-07-31,44941
comuna 15,98,2024-06-25,39566
comuna 15,49,2024-01-30,10681
comuna 3,27,2024-06-23,41220
comuna 1,98,2024-01-30,18285
comuna 2,95,2024-06-23,43836
comuna 10,38,2024-07-31,36497
comuna 11,60,2024-01-30,18434
comuna 1,97,2024-01-30,25776
comuna 15,37,2024-07-31,2896
comuna 1,80,2024-07-31,21411
comuna 8,26,2024-06-23,9629
comuna 2,90,2024-07-31,34117
comuna 10,59,2024-07-31,43510
comuna 7,56,2024-06-23,28203
comuna 11,90,2024-01-30,47809
comuna 5,72,2024-06-23,20194
comuna 4,76,2024-01-30,49158
comuna 16,68,2024-01-30,16636
comuna 4,31,2024-07-31,31516
comuna 15,35,2024-06-25,30787
comuna 13,36,2024-06-23,604
comuna 2,46,2024-07-31,46466
comuna 16,69,2024-07-31,46734
comuna 7,47,2024-07-31,5544
comuna 11,75,2024-07-31,42573
comuna 13,14,2024-01-30,39768
comuna 5,36,2024-01-30,11120
comuna 1,56,2024-01-30,38665
comuna 7,59,2024-06-23,14054
comuna 10,48,2024-07-31,10592
comuna 16,95,2024-01-30,12513
comuna 16,31,2024-06-23,3705
comuna 14,22,2024-06-23,15395
comuna 5,72,2024-06-25,28737
comuna 10,51,2024-07-31,40071
comuna 13,25,2024-07-31,17104
comuna 7,80,2024-06-25,40145
comuna 15,15,2024-07-31,13850
comuna 15,78,2024-06-25,45817
comuna 5,27,2024-07-31,30957
comuna 1,42,2024-06-25,38972
comuna 4,46,2024-06-23,38686
comuna 14,29,2024-06-23,19248
comuna 6,69,2024-06-23,30578
comuna 4,79,2024-06-25,24172
comuna 9,11,2024-06-23,15682
comuna 4,96,2024-07-31,15328
comuna 2,61,2024-01-30,9965
comuna 10,38,2024-06-23,48992
comuna 14,57,2024-06-25,12061
comuna 13,28,2024-01-30,23817
comuna 13,20,2024-01-30,12147
comuna 2,46,2024-06-25,1556
comuna 9,86,2024-01-30,21007
comuna 14,11,2024-06-25,11564
comuna 2,100,2024-01-30,10806
comuna 5,10,2024-06-23,49317
comuna 9,57,2024-06-25,17952
comuna 2,49,2024-06-23,46793
comuna 16,39,2024-07-31,1237
comuna 9,21,2024-06-25,13399
comuna 1,48,2024-01-30,22820
comuna 14,32,2024-06-23,9550
comuna 9,65,2024-01-30,38991
comuna 16,52,2024-06-25,13992
comuna 2,54,2024-01-30,43423
comuna 16,42,2024-06-25,24159
comuna 13,68,2024-06-25,44213
comuna 3,87,2024-07-31,6522
comuna 12,40,2024-07-31,10960
comuna 3,29,2024-01-30,34539
comuna 14,83,2024-06-23,23913
comuna 14,65,2024-06-23,35637
comuna 13,81,2024-06-23,2975
comuna 3,12,2024-06-23,10257
comuna 10,69,2024-06-23,12394
comuna 9,62,2024-01-30,9478
comuna 10,52,2024-06-23,12525
comuna 8,94,2024-06-25,24934
comuna 15,44,2024-07-31,22522
comuna 8,75,2024-07-31,42570
comuna 2,27,2024-06-23,12565
comuna 3,19,2024-06-25,17618
comuna 12,31,2024-01-30,11179
comuna 12,98,2024-07-31,20663
comuna 14,29,2024-07-31,2382
comuna 11,10,2024-07-31,30073
comuna 11,59,2024-07-31,39441
comuna 8,87,2024-01-30,41301
comuna 14,24,2024-06-25,15929
comuna 1,56,2024-06-25,6089
comuna 8,77,2024-07-31,33880
comuna 9,36,2024-06-25,49336
comuna 13,24,2024-06-25,22184
comuna 9,24,2024-01-30,35686
comuna 2,52,2024-01-30,16061
comuna 8,45,2024-06-23,35607
comuna 16,76,2024-06-23,8397
comuna 10,60,2024-06-23,43870
comuna 15,41,2024-01-30,18360
comuna 12,62,2024-01-30,38123
comuna 13,73,2024-07-31,14911
comuna 3,49,2024-06-23,22479
comuna 2,94,2024-06-25,4623
comuna 12,64,2024-06-23,2663
comuna 3,72,2024-06-23,37924
comuna 15,24,2024-07-31,39283
comuna 7,92,2024-06-25,20548
comuna 1,32,2024-06-23,5308
comuna 2,71,2024-07-31,31216
comuna 11,29,2024-07-31,13466
comuna 1,100,2024-01-30,26277
comuna 6,48,2024-06-25,46101
comuna 3,35,2024-06-23,48146
comuna 11,55,2024-06-23,44678
comuna 8,71,2024-06-23,29778
comuna 11,51,2024-01-30,39772
comuna 8,10,2024-06-23,38068
comuna 8,40,2024-06-23,45998
comuna 15,90,2024-06-25,10680
comuna 9,67,2024-01-30,46316
comuna 10,16,2024-06-23,1147
comuna 14,20,2024-01-30,30504
comuna 9,31,2024-06-23,34449
comuna 16,64,2024-01-30,38270
comuna 2,26,2024-06-23,2915
comuna 12,41,2024-07-31,36584
comuna 2,35,2024-06-25,40935
comuna 15,99,2024-06-23,48359
comuna 5,87,2024-07-31,2626
comuna 8,75,2024-06-25,8186
comuna 7,74,2024-06-25,12428
comuna 13,55,2024-06-25,21152
comuna 13,79,2024-01-30,14675
comuna 2,33,2024-01-30,3374
comuna 3,24,2024-01-30,8204
comuna 11,46,2024-06-23,29064
comuna 12,20,2024-07-31,39801
comuna 14,72,2024-01-30,19002
comuna 11,48,2024-01-30,34579
comuna 6,39,2024-06-25,17524
comuna 1,61,2024-06-23,25805
comuna 4,73,2024-06-23,15573
comuna 10,77,2024-06-25,25159
comuna 12,20,2024-07-31,14574
comuna 3,33,2024-07-31,31912
comuna 10,46,2024-01-30,1243
comuna 4,69,2024-07-31,26344
comuna 3,27,2024-06-25,4064
comuna 9,35,2024-01-30,42421
comuna 15,70,2024-01-30,1112
comuna 10,45,2024-06-25,13361
comuna 9,46,2024-06-25,35124
comuna 5,100,2024-06-25,14494
comuna 3,90,2024-01-30,32927
comuna 3,83,2024-01-30,26399
comuna 14,41,2024-07-31,37521
comuna 13,68,2024-07-31,4408
comuna 6,75,2024-01-30,35215
comuna 8,66,2024-06-25,9282
comuna 8,60,2024-06-23,31154
comuna 10,38,2024-01-30,61
comuna 14,35,2024-06-25,36061
comuna 5,18,2024-06-23,12990
comuna 13,75,2024-06-23,29220
comuna 9,75,2024-06-23,15931
comuna 4,18,2024-06-23,26640
comuna 14,19,2024-06-23,7800
comuna 14,31,2024-06-23,13749
comuna 3,86,2024-01-30,18550
comuna 15,99,2024-06-23,8629
comuna 4,68,2024-07-31,29236
comuna 5,95,2024-07-31,23976
comuna 8,63,2024-01-30,10603
comuna 6,46,2024-07-31,23360
comuna 12,96,2024-01-30,4598
comuna 16,80,2024-06-23,1686
comuna 14,76,2024-07-31,14622
comuna 2,80,2024-01-30,4740
comuna 8,21,2024-01-30,15750
comuna 14,97,2024-07-31,2060
comuna 12,49,2024-07-31,49556
comuna 12,62,2024-06-23,40152
comuna 9,24,2024-07-31,27079
comuna 14,15,2024-06-23,18915
comuna 13,13,2024-06-23,3249
comuna 7,15,2024-07-31,3227
comuna 3,12,2024-07-31,2862
comuna 4,15,2024-07-31,23945
comuna 7,96,2024-06-25,21385
comuna 12,32,2024-06-25,5674
comuna 11,98,2024-06-25,20914
comuna 8,56,2024-06-25,21040
comuna 13,38,2024-07-31,26841
comuna 13,28,2024-07-31,19959
comuna 5,66,2024-06-25,2881
comuna 3,36,2024-01-30,21858
comuna 2,50,2024-01-30,4492
comuna 7,78,2024-06-25,14762
comuna 8,31,2024-07-31,4426
comuna 12,35,2024-06-25,12358
comuna 4,45,2024-06-23,29431
comuna 13,36,2024-01-30,10859
comuna 9,30,2024-06-23,2005
comuna 11,12,2024-06-25,2649
comuna 3,88,2024-07-31,44918
comuna 1,71,2024-06-25,36647
comuna 8,50,2024-06-23,19993
comuna 3,55,2024-06-23,31847
comuna 2,92,2024-06-25,48885
comuna 12,71,2024-06-25,14715
comuna 5,94,2024-07-31,28025
comuna 3,56,2024-06-25,8347
comuna 10,38,2024-01-30,13650
comuna 7,16,2024-06-23,26613
comuna 9,15,2024-01-30,27213
comuna 9,19,2024-06-23,24599
comuna 9,31,2024-06-25,47726
comuna 13,85,2024-01-30,39883
comuna 14,51,2024-06-25,20840
comuna 7,64,2024-06-25,46709
comuna 15,72,2024-07-31,21290
comuna 14,26,2024-01-30,13538
comuna 16,68,2024-01-30,19595
comuna 5,90,2024-06-23,3982
comuna 7,86,2024-01-30,10105
comuna 7,98,2024-06-23,29322
comuna 9,16,2024-06-25,16225
comuna 11,36,2024-06-23,25176
comuna 10,67,2024-01-30,21267
comuna 9,90,2024-06-23,6613
comuna 13,85,2024-06-25,37815
comuna 16,80,2024-06-23,20540
comuna 15,57,2024-06-23,14246
comuna 4,49,2024-06-23,25698
comuna 1,71,2024-01-30,37553
comuna 2,57,2024-06-25,25224
comuna 7,54,2024-06-23,48939
comuna 4,10,2024-06-23,26812
comuna 7,27,2024-06-25,18256
comuna 15,32,2024-01-30,7237
comuna 12,69,2024-06-25,44149
comuna 1,72,2024-07-31,18972
comuna 9,33,2024-06-23,1366
comuna 8,32,2024-07-31,14346
comuna 9,27,2024-06-23,34606
comuna 2,35,2024-06-25,45051
comuna 8,38,2024-06-23,17072
comuna 8,22,2024-06-25,4043
comuna 14,28,2024-06-23,42336
comuna 15,47,2024-06-23,47880
comuna 4,27,2024-01-30,45141
comuna 2,57,2024-06-23,12549
comuna 3,85,2024-06-23,14377
comuna 9,72,2024-06-23,17882
comuna 16,100,2024-01-30,20318
comuna 10,44,2024-06-23,48402
comuna 16,59,2024-07-31,32550
comuna 9,41,2024-01-30,8185
comuna 16,81,2024-01-30,49117
comuna 6,52,2024-07-31,49083
comuna 3,81,2024-06-23,20176
comuna 1,29,2024-06-25,2182
comuna 6,71,2024-01-30,9705
comuna 3,31,2024-06-23,49743
comuna 5,65,2024-07-31,346
comuna 5,33,2024-06-25,13263
comuna 5,13,2024-06-25,36444
comuna 7,15,2024-06-23,38613
comuna 13,77,2024-06-25,32781
comuna 10,69,2024-06-25,22235
comuna 7,18,2024-07-31,10232
comuna 1,42,2024-01-30,12854
comuna 2,17,2024-06-23,1895
comuna 11,87,2024-07-31,45671
comuna 2,32,2024-06-23,45114
comuna 12,72,2024-06-23,1714
comuna 7,22,2024-01-30,29211
comuna 1,41,2024-01-30,21156
comuna 2,78,2024-06-25,27192
comuna 5,47,2024-06-25,5087
comuna 9,50,2024-07-31,1969
comuna 8,42,2024-07-31,23668
comuna 1,93,2024-06-25,23958
comuna 4,40,2024-06-23,47515
comuna 3,61,2024-07-31,46705
comuna 1,73,2024-06-25,11888
comuna 11,59,2024-01-30,31310
comuna 4,81,2024-06-23,31268
comuna 6,87,2024-01-30,22417
comuna 8,11,2024-01-30,30127
comuna 16,36,2024-06-23,16643
comuna 13,58,2024-01-30,20400
comuna 1,72,2024-01-30,37978
comuna 16,15,2024-06-25,16276
comuna 1,26,2024-06-25,17894
comuna 12,33,2024-01-30,38470
comuna 2,85,2024-01-30,29128
comuna 11,50,2024-06-25,42321
comuna 9,36,2024-01-30,26425
comuna 7,17,2024-07-31,40242
comuna 14,75,2024-06-25,32871
comuna 15,94,2024-01-30,2852
comuna 12,45,2024-01-30,8793
comuna 8,85,2024-06-23,45401
comuna 16,55,2024-07-31,4233
comuna 3,36,2024-06-23,18224
comuna 10,72,2024-06-25,15420
comuna 2,41,2024-01-30,31056
comuna 3,61,2024-07-31,49032
comuna 3,23,2024-06-25,33300
comuna 6,72,2024-06-23,43284
comuna 4,67,2024-06-25,47230
comuna 15,28,2024-07-31,5287
comuna 5,11,2024-06-25,10396
comuna 9,53,2024-06-23,31168
comuna 7,41,2024-01-30,9574
comuna 6,11,2024-07-31,27849
comuna 3,58,2024-07-31,45074
comuna 3,20,2024-06-25,45335
comuna 12,16,2024-06-25,49832
comuna 16,26,2024-07-31,17226
comuna 9,52,2024-06-25,6261
comuna 15,83,2024-06-25,7106
comuna 1,91,2024-06-25,10121
comuna 2,37,2024-01-30,48554
comuna 6,52,2024-06-23,6301
comuna 5,55,2024-06-23,31130
comuna 4,65,2024-01-30,15162
comuna 15,67,2024-01-30,13922
comuna 10,43,2024-06-25,5483
comuna 5,17,2024-07-31,9736
comuna 5,100,2024-07-31,19262
comuna 7,24,2024-07-31,33677
comuna 12,28,2024-01-30,14459
comuna 1,26,2024-06-25,14396
comuna 13,55,2024-06-25,36996
comuna 3,91,2024-01-30,2695
comuna 5,63,2024-07-31,16999
comuna 13,90,2024-06-25,47129
comuna 15,19,2024-01-30,33473
comuna 2,62,2024-07-31,1369
comuna 16,74,2024-06-23,20364
comuna 10,51,2024-01-30,19231
comuna 13,16,2024-06-25,45907
comuna 5,95,2024-01-30,33608
comuna 4,63,2024-06-25,11602
comuna 1,49,2024-01-30,8935
comuna 9,77,2024-07-31,46363
comuna 12,19,2024-07-31,24561
comuna 7,52,2024-07-31,25867
comuna 10,46,2024-06-23,24920
comuna 4,86,2024-01-30,8375
comuna 1,33,2024-01-30,4959
comuna 13,27,2024-01-30,34384
comuna 11,95,2024-06-25,48238
comuna 9,53,2024-01-30,18506
comuna 7,63,2024-06-25,25089
comuna 15,72,2024-06-25,29923
comuna 12,64,2024-07-31,44610
comuna 9,16,2024-06-25,39263
comuna 5,33,2024-07-31,44422
comuna 14,82,2024-06-25,1529
comuna 15,22,2024-01-30,8894
comuna 8,21,2024-07-31,21950
comuna 11,14,2024-07-31,44785
comuna 13,57,2024-06-25,17230
comuna 4,63,2024-01-30,34486
comuna 6,41,2024-06-23,2317
comuna 16,69,2024-01-30,7492
comuna 11,67,2024-06-25,9834
comuna 11,49,2024-07-31,2246
comuna 16,79,2024-06-25,42356
comuna 13,35,2024-06-25,24261
comuna 2,43,2024-06-25,10023
comuna 7,16,2024-07-31,36876
comuna 6,92,2024-07-31,30889
comuna 14,36,2024-01-30,6093
